mains_year,mains_exam_stage,mains_gs_paper,mains_question_type,mains_question_format,mains_subject,mains_sub_topic,mains_keywords,mains_difficulty_level,mains_current_affairs_linked,mains_repeated_theme,mains_marks
2022,Mains,GS3,Static,15-mark,Economy,Industrial Policy,"policy, india, foreign, security, industrial, energy, why, did, revolution, first, occur, england",Easy,Yes,No,10
2016,Mains,GS1,Static,15-mark,Geography,Disaster Management,"management, employees, disaster, what, impediments, marketing, supply, chain, ethical, ethics, also, used",Hard,Yes,No,10
2019,Mains,GS3,Static,15-mark,Environment,International Environmental Agreements,"environmental, india, what, discuss, international, relations, protection, answer, words, consequences, internationally, competitive",Moderate,No,Yes,10
2013,Mains,GS3,Mixed,15-mark,Economy,Inclusive Growth,"growth, economic, india, give, nature, recent, times, often, described, jobless, you, agree",Easy,Yes,No,15
2018,Mains,GS3,Mixed,10-mark,Security,Internal Security Challenges,"security, policy, challenges, energy, india, foreign, council, discuss, advantages, implications, cloud, hosting",Hard,Yes,No,10
2017,Mains,GS1,Static,15-mark,History,Indian Art and Culture,"discuss, india, you, how, what, words, answer, indian, not, can, there, power",Easy,No,Yes,10
2025,Mains,GS1,Current,15-mark,Geography,Indian Physiography,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Easy,No,No,10
2019,Mains,GS1,Static,15-mark,History,Post-Independence Consolidation,"independence, district, india, answer, words, how, different, would, been, achievement, indian, without",Moderate,Yes,Yes,10
2024,Mains,GS1,Mixed,15-mark,Society,Social Justice Issues,"social, issues, values, what, such, all, answer, words, plaguing, success, sezs, respect",Easy,Yes,Yes,15
2022,Mains,GS4,Current,10-mark,Aptitude,Case Study Analysis,"act, what, special, powers, afspa, draconian, leading, cases, meant, environmental, ethics, why",Moderate,Yes,No,15
2024,Mains,GS1,Mixed,10-mark,Society,Indian Social Structure,"indian, social, answer, how, words, different, been, mahatma, you, which, discuss, constitution",Easy,No,Yes,10
2016,Mains,GS1,Mixed,10-mark,Geography,Monsoon System,"system, you, india, health, positioning, systems, discuss, advantages, court, how, far, agree",Moderate,Yes,Yes,15
2013,Mains,GS4,Current,15-mark,Ethics,Moral Thinkers,"constitutional, morality, given, two, quotations, moral, thinkers, philosophers, each, these, demoralized, clear",Hard,No,Yes,10
2024,Mains,GS4,Mixed,10-mark,Ethics,Probity in Public Life,"public, life, servants, not, occur, health, also, conflict, interest, mesolithic, rock, cut",Hard,No,No,15
2019,Mains,GS3,Current,15-mark,Economy,Employment Generation,"employment, generation, livestock, rearing, big, potential, providing, non, farm, traditionally, remained, boys",Easy,No,No,15
2016,Mains,GS1,Mixed,15-mark,History,Colonialism and Decolonization,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Hard,No,No,15
2021,Mains,GS2,Static,10-mark,International Relations,Bilateral Relations,"relations, india, international, government, improve, relationship, neighbours, does, project, terrorist, activities, mutual",Moderate,No,Yes,10
2024,Mains,GS2,Static,15-mark,Polity,Directive Principles,"civil, code, provided, directive, principles, state, policy",Moderate,No,Yes,15
2025,Mains,GS3,Mixed,15-mark,Economy,Inclusive Growth,"growth, economic, india, give, nature, recent, times, often, described, jobless, you, agree",Moderate,No,No,15
2018,Mains,GS3,Static,15-mark,Science & Technology,Technology and Ethics,"discuss, india, what, you, how, words, not, can, answer, there, ethics, their",Easy,Yes,No,15
2023,Mains,GS2,Current,10-mark,Polity,Parliamentary System,"system, india, health, you, positioning, systems, discuss, advantages, court, absence, well, educated",Easy,Yes,Yes,15
2020,Mains,GS1,Current,10-mark,Society,Poverty and Development,"discuss, india, what, you, how, development, poverty, words, can, answer, critically, not",Easy,No,No,10
2014,Mains,GS1,Static,15-mark,Society,Poverty and Development,"discuss, india, what, you, how, development, poverty, words, can, answer, critically, not",Moderate,Yes,No,10
2015,Mains,GS3,Current,15-mark,Economy,Industrial Policy,"policy, india, foreign, security, industrial, energy, why, did, revolution, first, occur, england",Hard,Yes,Yes,15
2019,Mains,GS2,Mixed,15-mark,Polity,Federalism,"federalism, recent, india, concept, cooperative, been, increasingly, emphasized, years, would, answer, shortcomings",Easy,No,Yes,15
2024,Mains,GS2,Mixed,10-mark,Polity,Judicial Review,"judicial, some, recent, developments, such, introduction, rti, act, media, view, above, observation",Hard,Yes,No,10
2014,Mains,GS4,Current,Case Study,Integrity,Transparency Mechanisms,"transparency, mechanisms, governance, ensure, accountability, activism, etc, proving, helpful, bringing, about, greater",Easy,No,No,15
2017,Mains,GS2,Current,10-mark,International Relations,India and Neighbours,"india, discuss, how, you, what, words, answer, can, there, indian, not, development",Moderate,No,No,10
2025,Mains,GS4,Mixed,Case Study,Integrity,Corruption,corruption,Moderate,Yes,No,15
2018,Mains,GS2,Current,15-mark,Polity,Federalism,"federalism, recent, india, concept, cooperative, been, increasingly, emphasized, years, would, answer, shortcomings",Hard,Yes,No,10
2021,Mains,GS1,Static,10-mark,History,World History Revolutions,"world, what, extent, can, germany, held, responsible, causing, two, wars, discuss, waning",Hard,No,Yes,15
2013,Mains,GS4,Static,10-mark,Ethics,Moral Thinkers,"constitutional, morality, given, two, quotations, moral, thinkers, philosophers, each, these, demoralized, clear",Easy,Yes,Yes,15
2019,Mains,GS1,Static,10-mark,Geography,Disaster Management,"management, employees, disaster, what, impediments, marketing, supply, chain, ethical, ethics, also, used",Hard,No,Yes,15
2013,Mains,GS3,Current,10-mark,Science & Technology,Biotechnology,biotechnology,Easy,Yes,No,10
2019,Mains,GS1,Current,10-mark,History,Indian Freedom Struggle,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Easy,Yes,No,10
2017,Mains,GS2,Mixed,10-mark,Governance,Role of NGOs,"role, india, ngos, environmental, examine, critically, recent, changes, rules, governing, foreign, funding",Easy,Yes,No,10
2024,Mains,GS1,Current,15-mark,History,World History Revolutions,"world, what, extent, can, germany, held, responsible, causing, two, wars, discuss, waning",Hard,No,Yes,15
2024,Mains,GS3,Static,15-mark,Security,Terrorism,terrorism,Hard,Yes,Yes,10
2025,Mains,GS2,Static,10-mark,Governance,E-Governance,"governance, critically, discuss, ensure, transparency, accountability, projects, built, bias, towards, union, government",Hard,Yes,Yes,10
2022,Mains,GS3,Mixed,15-mark,Science & Technology,Technology and Ethics,"discuss, india, what, you, how, words, not, can, answer, there, ethics, their",Moderate,No,No,10
2015,Mains,GS2,Mixed,10-mark,Polity,Parliamentary System,"system, india, health, you, positioning, systems, discuss, advantages, court, absence, well, educated",Hard,No,No,15
2017,Mains,GS3,Current,15-mark,Economy,Agricultural Reforms,"reforms, discuss, recent, india, programme, radical, labour, logical, arguments, assess, impact, tribunal",Hard,No,Yes,10
2024,Mains,GS2,Current,10-mark,International Relations,Global Institutions,"institutions, globalization, discuss, positive, negative, effects, women, india, samitis, remained, mainly, political",Moderate,Yes,Yes,10
2019,Mains,GS2,Static,15-mark,International Relations,India and Neighbours,"india, discuss, how, you, what, words, answer, can, there, indian, not, development",Moderate,No,No,15
2013,Mains,GS4,Mixed,Case Study,Ethics,Probity in Public Life,"public, life, servants, not, occur, health, also, conflict, interest, mesolithic, rock, cut",Moderate,No,Yes,15
2025,Mains,GS2,Mixed,15-mark,Governance,Role of NGOs,"role, india, ngos, environmental, examine, critically, recent, changes, rules, governing, foreign, funding",Hard,No,No,10
2015,Mains,GS1,Mixed,10-mark,Geography,Monsoon System,"system, you, india, health, positioning, systems, discuss, advantages, court, how, far, agree",Hard,Yes,Yes,10
2020,Mains,GS1,Current,15-mark,History,World History Revolutions,"world, what, extent, can, germany, held, responsible, causing, two, wars, discuss, waning",Moderate,No,No,15
2023,Mains,GS4,Mixed,15-mark,Ethics,Ethics and Human Interface,"discuss, india, what, you, how, words, not, can, answer, there, ethics, their",Easy,Yes,Yes,10
2023,Mains,GS3,Mixed,15-mark,Environment,International Environmental Agreements,"environmental, india, what, discuss, international, relations, protection, answer, words, consequences, internationally, competitive",Hard,Yes,No,10
2020,Mains,GS1,Static,10-mark,Geography,Climatology,climatology,Easy,Yes,Yes,10
2021,Mains,GS4,Static,15-mark,Integrity,Transparency Mechanisms,"transparency, mechanisms, governance, ensure, accountability, activism, etc, proving, helpful, bringing, about, greater",Easy,No,No,10
2025,Mains,GS1,Mixed,15-mark,Geography,Monsoon System,"system, you, india, health, positioning, systems, discuss, advantages, court, how, far, agree",Easy,No,No,15
2013,Mains,GS2,Current,10-mark,Governance,Transparency and Accountability,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Easy,No,No,10
2018,Mains,GS2,Static,10-mark,International Relations,Bilateral Relations,"relations, india, international, government, improve, relationship, neighbours, does, project, terrorist, activities, mutual",Hard,No,Yes,15
2025,Mains,GS2,Static,10-mark,Governance,E-Governance,"governance, critically, discuss, ensure, transparency, accountability, projects, built, bias, towards, union, government",Easy,Yes,No,10
2018,Mains,GS3,Mixed,15-mark,Security,Internal Security Challenges,"security, policy, challenges, energy, india, foreign, council, discuss, advantages, implications, cloud, hosting",Hard,Yes,No,10
2017,Mains,GS4,Mixed,10-mark,Integrity,Codes of Conduct,"today, find, spite, various, measures, like, prescribing, codes, conduct",Moderate,Yes,No,10
2023,Mains,GS4,Current,15-mark,Ethics,Moral Thinkers,"constitutional, morality, given, two, quotations, moral, thinkers, philosophers, each, these, demoralized, clear",Easy,No,Yes,10
2022,Mains,GS2,Current,15-mark,International Relations,Global Institutions,"institutions, globalization, discuss, positive, negative, effects, women, india, samitis, remained, mainly, political",Easy,Yes,Yes,10
2025,Mains,GS4,Mixed,15-mark,Integrity,Public Service Values,"public, servants, health, you, also, service, values, conflict, interest, what, civil, would",Moderate,Yes,Yes,10
2021,Mains,GS2,Current,10-mark,Polity,Parliamentary System,"system, india, health, you, positioning, systems, discuss, advantages, court, absence, well, educated",Hard,No,Yes,10
2019,Mains,GS3,Current,15-mark,Security,Organized Crime,"absence, well, educated, organized, local, level, government, system, panchayats, digital, armed, force",Hard,Yes,Yes,15
2016,Mains,GS1,Mixed,10-mark,History,Colonialism and Decolonization,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Easy,No,No,15
2020,Mains,GS3,Current,10-mark,Economy,Inclusive Growth,"growth, economic, india, give, nature, recent, times, often, described, jobless, you, agree",Moderate,No,Yes,15
2016,Mains,GS4,Static,15-mark,Ethics,Ethical Issues in Governance,"issues, governance, discuss, ethical, management, ethically, right, but, not, legally, how, critically",Moderate,No,No,15
2015,Mains,GS4,Static,15-mark,Integrity,Public Service Values,"public, servants, health, you, also, service, values, conflict, interest, what, civil, would",Moderate,Yes,Yes,15
2023,Mains,GS4,Current,Case Study,Integrity,Transparency Mechanisms,"transparency, mechanisms, governance, ensure, accountability, activism, etc, proving, helpful, bringing, about, greater",Easy,Yes,Yes,10
2020,Mains,GS2,Current,15-mark,International Relations,Bilateral Relations,"relations, india, international, government, improve, relationship, neighbours, does, project, terrorist, activities, mutual",Moderate,No,Yes,15
2024,Mains,GS2,Mixed,10-mark,Governance,Civil Services Reforms,"civil, state, reforms, india, discuss, would, recent, ancient, civilization, indian, sub, continent",Easy,No,No,15
2020,Mains,GS3,Mixed,15-mark,Economy,Inclusive Growth,"growth, economic, india, give, nature, recent, times, often, described, jobless, you, agree",Easy,Yes,Yes,10
2025,Mains,GS1,Mixed,15-mark,Society,Demographic Transition,"demographic, transition",Hard,Yes,No,10
2025,Mains,GS1,Current,15-mark,Society,Women Empowerment,"women, empowerment, favourable, than, sex, ratio, among, scheduled, castes, discuss, positive, negative",Moderate,Yes,Yes,10
2025,Mains,GS2,Current,15-mark,Governance,Transparency and Accountability,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Easy,No,Yes,15
2017,Mains,GS3,Static,15-mark,Security,Cyber Security,"security, india, policy, country, energy, foreign, council, discuss, advantages, implications, cloud, hosting",Moderate,No,No,10
2022,Mains,GS3,Static,10-mark,Economy,Infrastructure Development,"development, india, how, recent, district, can, role, ngos, strengthened, works, relating, tool",Hard,Yes,Yes,15
2022,Mains,GS1,Current,10-mark,Geography,Indian Physiography,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Hard,Yes,Yes,15
2022,Mains,GS1,Current,15-mark,Society,Demographic Transition,"demographic, transition",Moderate,Yes,Yes,10
2024,Mains,GS1,Mixed,15-mark,History,World History Revolutions,"world, what, extent, can, germany, held, responsible, causing, two, wars, discuss, waning",Moderate,No,Yes,15
2013,Mains,GS2,Mixed,10-mark,Governance,Civil Services Reforms,"civil, state, reforms, india, discuss, would, recent, ancient, civilization, indian, sub, continent",Easy,No,Yes,15
2019,Mains,GS4,Static,15-mark,Aptitude,Leadership,leadership,Easy,Yes,No,10
2017,Mains,GS4,Current,15-mark,Integrity,Transparency Mechanisms,"transparency, mechanisms, governance, ensure, accountability, activism, etc, proving, helpful, bringing, about, greater",Easy,No,No,10
2014,Mains,GS1,Static,10-mark,Geography,Disaster Management,"management, employees, disaster, what, impediments, marketing, supply, chain, ethical, ethics, also, used",Moderate,No,No,15
2018,Mains,GS4,Static,15-mark,Integrity,Corruption,corruption,Moderate,Yes,No,15
2015,Mains,GS2,Current,15-mark,Governance,Public Policy Implementation,"public, policy, foreign, security, servants, interest, health, you, also, conflict, energy, india",Moderate,Yes,No,15
2023,Mains,GS2,Static,15-mark,Polity,Federalism,"federalism, recent, india, concept, cooperative, been, increasingly, emphasized, years, would, answer, shortcomings",Easy,No,Yes,15
2020,Mains,GS4,Mixed,Case Study,Integrity,Transparency Mechanisms,"transparency, mechanisms, governance, ensure, accountability, activism, etc, proving, helpful, bringing, about, greater",Hard,Yes,No,15
2014,Mains,GS1,Current,15-mark,Society,Globalization and Society,"discuss, india, what, you, how, words, answer, not, can, there, their, critically",Hard,Yes,Yes,10
2014,Mains,GS2,Current,10-mark,Governance,Transparency and Accountability,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Hard,Yes,No,15
2017,Mains,GS4,Static,Case Study,Aptitude,Case Study Analysis,"act, what, special, powers, afspa, draconian, leading, cases, meant, environmental, ethics, why",Easy,Yes,No,10
2017,Mains,GS3,Mixed,10-mark,Security,Internal Security Challenges,"security, policy, challenges, energy, india, foreign, council, discuss, advantages, implications, cloud, hosting",Moderate,Yes,No,15
2023,Mains,GS2,Static,15-mark,International Relations,Indian Diaspora,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Hard,Yes,No,15
2015,Mains,GS4,Static,Case Study,Ethics,Attitude and Aptitude,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Moderate,No,Yes,15
2021,Mains,GS4,Mixed,10-mark,Aptitude,Emotional Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Hard,Yes,No,10
2024,Mains,GS1,Mixed,15-mark,Geography,Natural Resources,"resources, water, india, well, endowed, fresh, critically, examine, why, still, suffers, inequality",Easy,No,No,15
2018,Mains,GS1,Mixed,15-mark,Society,Indian Social Structure,"indian, social, answer, how, words, different, been, mahatma, you, which, discuss, constitution",Moderate,No,No,15
2025,Mains,GS1,Current,10-mark,Geography,Climatology,climatology,Moderate,No,No,10
2017,Mains,GS4,Mixed,10-mark,Aptitude,Decision Making,"decision, making, decisions, take, ordinances, analyze, whether, supreme, court, issue, erroneous, patents",Easy,No,Yes,10
2019,Mains,GS2,Static,10-mark,Governance,E-Governance,"governance, critically, discuss, ensure, transparency, accountability, projects, built, bias, towards, union, government",Easy,Yes,Yes,15
2024,Mains,GS2,Static,10-mark,Governance,Role of NGOs,"role, india, ngos, environmental, examine, critically, recent, changes, rules, governing, foreign, funding",Easy,No,No,15
2019,Mains,GS2,Mixed,15-mark,International Relations,Global Institutions,"institutions, globalization, discuss, positive, negative, effects, women, india, samitis, remained, mainly, political",Moderate,Yes,Yes,10
2015,Mains,GS2,Current,15-mark,Governance,Transparency and Accountability,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Moderate,No,Yes,10
2013,Mains,GS1,Mixed,10-mark,History,Modern Indian Thinkers,"indian, how, answer, modern, been, you, constitution, gold, increased, given, words, ancient",Moderate,Yes,No,15
2015,Mains,GS2,Static,10-mark,International Relations,India and Neighbours,"india, discuss, how, you, what, words, answer, can, there, indian, not, development",Moderate,Yes,No,10
2021,Mains,GS4,Current,15-mark,Aptitude,Emotional Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Moderate,Yes,Yes,10
2013,Mains,GS4,Current,10-mark,Aptitude,Emotional Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Moderate,Yes,Yes,10
2015,Mains,GS2,Static,10-mark,International Relations,Strategic Partnerships,"strategic, dimension, discuss, long, term, institutional, partnerships, elaborate, answer, words",Moderate,No,Yes,10
2018,Mains,GS4,Mixed,Case Study,Integrity,Public Service Values,"public, servants, health, you, also, service, values, conflict, interest, what, civil, would",Moderate,No,Yes,10
2021,Mains,GS1,Mixed,15-mark,History,Colonialism and Decolonization,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Hard,Yes,No,15
2025,Mains,GS1,Static,10-mark,History,Indian Freedom Struggle,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Hard,Yes,No,10
2015,Mains,GS1,Static,10-mark,Society,Demographic Transition,"demographic, transition",Moderate,No,No,10
2014,Mains,GS1,Mixed,15-mark,Society,Indian Social Structure,"indian, social, answer, how, words, different, been, mahatma, you, which, discuss, constitution",Easy,No,No,15
2023,Mains,GS4,Mixed,Case Study,Integrity,Corruption,corruption,Moderate,No,No,10
2015,Mains,GS3,Current,15-mark,Security,Terrorism,terrorism,Hard,Yes,No,10
2025,Mains,GS3,Mixed,15-mark,Science & Technology,Technology and Ethics,"discuss, india, what, you, how, words, not, can, answer, there, ethics, their",Hard,No,Yes,15
2022,Mains,GS2,Current,10-mark,International Relations,Indian Diaspora,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Hard,No,No,10
2016,Mains,GS4,Mixed,15-mark,Aptitude,Leadership,leadership,Moderate,No,Yes,10
2016,Mains,GS1,Current,10-mark,Geography,Natural Resources,"resources, water, india, well, endowed, fresh, critically, examine, why, still, suffers, inequality",Moderate,Yes,No,10
2023,Mains,GS1,Current,15-mark,Geography,Indian Physiography,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Hard,Yes,Yes,15
2013,Mains,GS4,Static,Case Study,Aptitude,Emotional Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Moderate,No,No,10
2016,Mains,GS4,Current,Case Study,Aptitude,Case Study Analysis,"act, what, special, powers, afspa, draconian, leading, cases, meant, environmental, ethics, why",Hard,Yes,No,10
2016,Mains,GS2,Mixed,10-mark,Polity,Directive Principles,"civil, code, provided, directive, principles, state, policy",Easy,No,No,15
2019,Mains,GS2,Mixed,15-mark,Governance,Civil Services Reforms,"civil, state, reforms, india, discuss, would, recent, ancient, civilization, indian, sub, continent",Moderate,No,Yes,15
2019,Mains,GS3,Static,10-mark,Science & Technology,Artificial Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Hard,Yes,Yes,15
2016,Mains,GS2,Mixed,10-mark,Polity,Federalism,"federalism, recent, india, concept, cooperative, been, increasingly, emphasized, years, would, answer, shortcomings",Easy,No,No,15
2019,Mains,GS4,Current,15-mark,Integrity,Public Service Values,"public, servants, health, you, also, service, values, conflict, interest, what, civil, would",Easy,Yes,Yes,15
2014,Mains,GS1,Current,15-mark,Geography,Indian Physiography,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Moderate,No,Yes,15
2022,Mains,GS4,Static,Case Study,Ethics,Attitude and Aptitude,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Moderate,No,Yes,10
2025,Mains,GS1,Current,10-mark,History,Modern Indian Thinkers,"indian, how, answer, modern, been, you, constitution, gold, increased, given, words, ancient",Easy,Yes,No,10
2016,Mains,GS2,Current,10-mark,Polity,Indian Constitution,"indian, constitution, answer, how, been, constitutional, words, years, experience, you, gold, increased",Hard,Yes,No,10
2014,Mains,GS2,Current,15-mark,Governance,E-Governance,"governance, critically, discuss, ensure, transparency, accountability, projects, built, bias, towards, union, government",Hard,Yes,No,15
2017,Mains,GS3,Current,15-mark,Security,Cyber Security,"security, india, policy, country, energy, foreign, council, discuss, advantages, implications, cloud, hosting",Moderate,Yes,No,15
2023,Mains,GS3,Current,15-mark,Environment,Biodiversity Conservation,"biodiversity, conservation",Easy,Yes,No,15
2018,Mains,GS3,Current,10-mark,Environment,Biodiversity Conservation,"biodiversity, conservation",Easy,Yes,Yes,15
2020,Mains,GS2,Static,15-mark,Polity,Indian Constitution,"indian, constitution, answer, how, been, constitutional, words, years, experience, you, gold, increased",Easy,No,Yes,15
2020,Mains,GS3,Current,10-mark,Environment,Biodiversity Conservation,"biodiversity, conservation",Hard,Yes,No,15
2015,Mains,GS4,Mixed,10-mark,Aptitude,Emotional Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Easy,No,Yes,10
2025,Mains,GS3,Static,15-mark,Science & Technology,Indigenous Technology,"technology, back, end",Moderate,Yes,Yes,10
2024,Mains,GS3,Mixed,10-mark,Environment,Climate Change,"changes, discuss, change, india, brought, can, how, trends, labour, migration, within, outside",Easy,Yes,Yes,15
2021,Mains,GS3,Current,15-mark,Environment,Environmental Impact Assessment,"environmental, india, impact, their, what, discuss, how, words, employees, recent, reforms, protection",Hard,No,Yes,15
2014,Mains,GS3,Static,10-mark,Economy,Government Budgeting,"government, vis, gained, india, act, discuss, absence, well, educated, organized, local, level",Moderate,Yes,Yes,15
2019,Mains,GS3,Mixed,10-mark,Economy,Government Budgeting,"government, vis, gained, india, act, discuss, absence, well, educated, organized, local, level",Easy,Yes,No,10
2019,Mains,GS3,Mixed,10-mark,Environment,Environmental Impact Assessment,"environmental, india, impact, their, what, discuss, how, words, employees, recent, reforms, protection",Easy,Yes,No,15
2016,Mains,GS1,Current,15-mark,History,Indian Art and Culture,"discuss, india, you, how, what, words, answer, indian, not, can, there, power",Hard,No,Yes,10
2025,Mains,GS4,Mixed,10-mark,Ethics,Ethical Issues in Governance,"issues, governance, discuss, ethical, management, ethically, right, but, not, legally, how, critically",Hard,No,Yes,10
2021,Mains,GS3,Mixed,10-mark,Science & Technology,Biotechnology,biotechnology,Easy,No,No,15
2017,Mains,GS4,Static,Case Study,Integrity,Transparency Mechanisms,"transparency, mechanisms, governance, ensure, accountability, activism, etc, proving, helpful, bringing, about, greater",Hard,No,Yes,15
2025,Mains,GS1,Current,10-mark,Society,Demographic Transition,"demographic, transition",Hard,No,Yes,10
2013,Mains,GS1,Mixed,10-mark,Society,Globalization and Society,"discuss, india, what, you, how, words, answer, not, can, there, their, critically",Easy,No,Yes,15
2016,Mains,GS1,Current,10-mark,Society,Globalization and Society,"discuss, india, what, you, how, words, answer, not, can, there, their, critically",Hard,No,No,10
2015,Mains,GS4,Mixed,Case Study,Aptitude,Leadership,leadership,Hard,No,Yes,10
2019,Mains,GS1,Static,15-mark,History,Modern Indian Thinkers,"indian, how, answer, modern, been, you, constitution, gold, increased, given, words, ancient",Easy,No,Yes,10
2017,Mains,GS3,Static,15-mark,Science & Technology,Artificial Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Moderate,No,No,15
2013,Mains,GS3,Mixed,15-mark,Science & Technology,Artificial Intelligence,"how, can, artificial, intelligence, drones, effectively, used, along",Moderate,No,No,15
2020,Mains,GS3,Static,15-mark,Economy,Infrastructure Development,"development, india, how, recent, district, can, role, ngos, strengthened, works, relating, tool",Hard,Yes,No,10
2018,Mains,GS1,Current,15-mark,Society,Social Justice Issues,"social, issues, values, what, such, all, answer, words, plaguing, success, sezs, respect",Easy,Yes,No,10
2018,Mains,GS1,Mixed,10-mark,Society,Globalization and Society,"discuss, india, what, you, how, words, answer, not, can, there, their, critically",Moderate,Yes,Yes,15
2024,Mains,GS4,Static,10-mark,Aptitude,Decision Making,"decision, making, decisions, take, ordinances, analyze, whether, supreme, court, issue, erroneous, patents",Moderate,No,No,15
2021,Mains,GS3,Current,10-mark,Environment,Biodiversity Conservation,"biodiversity, conservation",Moderate,Yes,Yes,10
2021,Mains,GS1,Mixed,10-mark,Society,Social Justice Issues,"social, issues, values, what, such, all, answer, words, plaguing, success, sezs, respect",Easy,No,Yes,10
2013,Mains,GS1,Mixed,15-mark,Geography,Monsoon System,"system, you, india, health, positioning, systems, discuss, advantages, court, how, far, agree",Easy,Yes,No,10
2021,Mains,GS1,Static,10-mark,Society,Poverty and Development,"discuss, india, what, you, how, development, poverty, words, can, answer, critically, not",Easy,No,Yes,15
2021,Mains,GS1,Current,15-mark,History,World History Revolutions,"world, what, extent, can, germany, held, responsible, causing, two, wars, discuss, waning",Moderate,Yes,Yes,15
2019,Mains,GS1,Mixed,15-mark,Geography,Indian Physiography,"indian, how, answer, been, you, constitution, gold, increased, words, ancient, civilization, sub",Hard,Yes,No,10
2013,Mains,GS4,Mixed,Case Study,Ethics,Moral Thinkers,"constitutional, morality, given, two, quotations, moral, thinkers, philosophers, each, these, demoralized, clear",Moderate,Yes,No,10
2022,Mains,GS2,Static,15-mark,Polity,Indian Constitution,"indian, constitution, answer, how, been, constitutional, words, years, experience, you, gold, increased",Hard,Yes,Yes,15
2017,Mains,GS4,Static,15-mark,Integrity,Transparency Mechanisms,"transparency, mechanisms, governance, ensure, accountability, activism, etc, proving, helpful, bringing, about, greater",Moderate,No,Yes,10
2017,Mains,GS1,Current,10-mark,Geography,Disaster Management,"management, employees, disaster, what, impediments, marketing, supply, chain, ethical, ethics, also, used",Moderate,Yes,No,10
2014,Mains,GS1,Current,15-mark,Geography,Natural Resources,"resources, water, india, well, endowed, fresh, critically, examine, why, still, suffers, inequality",Easy,Yes,Yes,10
2022,Mains,GS1,Static,10-mark,Geography,Urbanization,urbanization,Easy,No,No,10
2019,Mains,GS3,Current,10-mark,Environment,Biodiversity Conservation,"biodiversity, conservation",Easy,No,No,15
2022,Mains,GS1,Static,10-mark,Society,Poverty and Development,"discuss, india, what, you, how, development, poverty, words, can, answer, critically, not",Hard,No,Yes,10
2018,Mains,GS2,Current,10-mark,International Relations,India and Neighbours,"india, discuss, how, you, what, words, answer, can, there, indian, not, development",Easy,Yes,No,10
2024,Mains,GS2,Mixed,10-mark,Governance,E-Governance,"governance, critically, discuss, ensure, transparency, accountability, projects, built, bias, towards, union, government",Hard,Yes,No,15
2025,Mains,GS2,Static,10-mark,International Relations,Bilateral Relations,"relations, india, international, government, improve, relationship, neighbours, does, project, terrorist, activities, mutual",Easy,Yes,Yes,15
2019,Mains,GS2,Static,15-mark,International Relations,Strategic Partnerships,"strategic, dimension, discuss, long, term, institutional, partnerships, elaborate, answer, words",Hard,No,No,15
2023,Mains,GS3,Current,10-mark,Security,Cyber Security,"security, india, policy, country, energy, foreign, council, discuss, advantages, implications, cloud, hosting",Moderate,No,No,10
2014,Mains,GS4,Current,10-mark,Ethics,Probity in Public Life,"public, life, servants, not, occur, health, also, conflict, interest, mesolithic, rock, cut",Easy,No,No,10
2023,Mains,GS4,Static,15-mark,Ethics,Attitude and Aptitude,"discuss, india, what, you, how, words, not, can, answer, there, their, critically",Easy,Yes,Yes,10
2017,Mains,GS4,Current,Case Study,Ethics,Ethical Issues in Governance,"issues, governance, discuss, ethical, management, ethically, right, but, not, legally, how, critically",Moderate,Yes,No,10
2016,Mains,GS2,Static,10-mark,International Relations,Strategic Partnerships,"strategic, dimension, discuss, long, term, institutional, partnerships, elaborate, answer, words",Hard,Yes,No,10
2018,Mains,GS1,Static,15-mark,Society,Globalization and Society,"discuss, india, what, you, how, words, answer, not, can, there, their, critically",Hard,No,No,15
2023,Mains,GS2,Static,15-mark,Polity,Indian Constitution,"indian, constitution, answer, how, been, constitutional, words, years, experience, you, gold, increased",Easy,Yes,Yes,15
